,LR,DT,RF,XGB,MLP,PYGAM,EBM,NAM,GAMINET,EXNN,IGANN,ELASTICNET,TABNET,MGCV_SPLINE,CATBOOST
weather,,,,,,,,,,,,,,,
stroke,,,,,,,,,,,,,,,
adult,,,,,,,,,,,,,,,
telco,,,,,,,,,,,,,,,
college,,,,,,,,,,,,,,,
fico,,,,,,,,,,,,,,,
bank,,,,,,,,,,,,,,,
airline,,,,,,,,,,,,,,,
compas,,,,,,,,,,,,,,,
water,,,,,,,,,,,,,,,
car,,"'max_depth': 5
 'max_leaf_nodes': 20
 'class_weight': None
 'splitter': 'best'","'n_estimators': 50
 'max_depth': 10
 'class_weight': None","'max_depth': 9
 'learning_rate': 0.1
 'n_estimators': 50","'hidden_layer_sizes': [25
 25
 25]
 'alpha': 0.01
 'activation': 'relu'","'n_splines': 5
 'lam': 0.2","'max_bins': 256
 'interactions': 20
 'outer_bags': 16
 'inner_bags': 0","'lr': 0.01
 'num_learners': 8
 'dropout': 0
 'num_basis_functions': 64","'interact_num': 20
 'activation_func': 'Sigmoid'
 'reg_clarity': 0.01","'subnet_num': 5
 'l1_proj': 0.01
 'l1_subnet': 0.0001","'boost_rate': 0.025
 'elm_scale': 1
 'interactions': 20","'alpha': 0.01
 'l1_ratio': 0.1","'n_a_and_d': 32
 'n_steps': 3
 'gamma': 1.3","'spline_type': 'ts'
 'maxk': 5
 'm': 2
 'gamma': 1.4","'n_estimators': 500
 'max_depth': 3
 'eta': 0.1"
crab,,"'max_depth': 10
 'max_leaf_nodes': 20
 'class_weight': None
 'splitter': 'best'","'n_estimators': 1000
 'max_depth': 10
 'class_weight': None","'max_depth': 3
 'learning_rate': 0.1
 'n_estimators': 100","'hidden_layer_sizes': [100
 100
 100]
 'alpha': 0.01
 'activation': 'tanh'","'n_splines': 10
 'lam': 0.9","'max_bins': 256
 'interactions': 10
 'outer_bags': 8
 'inner_bags': 0","'lr': 0.02082
 'num_learners': 8
 'dropout': 0
 'num_basis_functions': 64","'interact_num': 10
 'activation_func': 'ReLU'
 'reg_clarity': 0.01","'subnet_num': 5
 'l1_proj': 0.001
 'l1_subnet': 0.0001","'boost_rate': 0.1
 'elm_scale': 1
 'interactions': 10","'alpha': 0.001
 'l1_ratio': 1","'n_a_and_d': 8
 'n_steps': 3
 'gamma': 1.8","'spline_type': 'ts'
 'maxk': 20
 'm': 3
 'gamma': 1.4","'n_estimators': 1000
 'max_depth': 9
 'eta': 0.03"
medical,,"'max_depth': 5
 'max_leaf_nodes': 10
 'class_weight': None
 'splitter': 'best'","'n_estimators': 1000
 'max_depth': 5
 'class_weight': None","'max_depth': 3
 'learning_rate': 0.1
 'n_estimators': 50","'hidden_layer_sizes': [25
 25]
 'alpha': 0.0001
 'activation': 'relu'","'n_splines': 5
 'lam': 0.9","'max_bins': 256
 'interactions': 10
 'outer_bags': 16
 'inner_bags': 0","'lr': 0.01
 'num_learners': 8
 'dropout': 0
 'num_basis_functions': 64","'interact_num': 10
 'activation_func': 'ReLU'
 'reg_clarity': 0.2","'subnet_num': 5
 'l1_proj': 0.01
 'l1_subnet': 0.001","'boost_rate': 0.1
 'elm_scale': 2
 'interactions': 10","'alpha': 0.001
 'l1_ratio': 1","'n_a_and_d': 8
 'n_steps': 10
 'gamma': 1.5","'spline_type': 'ts'
 'maxk': 20
 'm': 2
 'gamma': 1.4","'n_estimators': 1000
 'max_depth': 3
 'eta': 0.01"
productivity,,"'max_depth': 5
 'max_leaf_nodes': None
 'class_weight': None
 'splitter': 'best'","'n_estimators': 500
 'max_depth': 40
 'class_weight': None","'max_depth': 3
 'learning_rate': 0.1
 'n_estimators': 500","'hidden_layer_sizes': [100]
 'alpha': 0.01
 'activation': 'tanh'","'n_splines': 20
 'lam': 0.4","'max_bins': 512
 'interactions': 20
 'outer_bags': 16
 'inner_bags': 4","'lr': 0.02082
 'num_learners': 8
 'dropout': 0
 'num_basis_functions': 64","'interact_num': 10
 'activation_func': 'ReLU'
 'reg_clarity': 0.1","'subnet_num': 5
 'l1_proj': 0.01
 'l1_subnet': 0.0001","'boost_rate': 0.1
 'elm_scale': 5
 'interactions': 20","'alpha': 0.001
 'l1_ratio': 0","'n_a_and_d': 32
 'n_steps': 5
 'gamma': 1.8","'spline_type': 'ts'
 'maxk': 10
 'm': 2
 'gamma': 1.4","'n_estimators': 1000
 'max_depth': 3
 'eta': 0.1"
student,,"'max_depth': 5
 'max_leaf_nodes': 10
 'class_weight': None
 'splitter': 'random'","'n_estimators': 500
 'max_depth': None
 'class_weight': None","'max_depth': 3
 'learning_rate': 0.1
 'n_estimators': 50","'hidden_layer_sizes': [50
 50]
 'alpha': 0.01
 'activation': 'tanh'","'n_splines': 5
 'lam': 0.9","'max_bins': 256
 'interactions': 0
 'outer_bags': 8
 'inner_bags': 4","'lr': 0.01
 'num_learners': 8
 'dropout': 0
 'num_basis_functions': 64","'interact_num': 0
 'activation_func': 'ReLU'
 'reg_clarity': 0.01","'subnet_num': 5
 'l1_proj': 0.001
 'l1_subnet': 0.001","'boost_rate': 0.025
 'elm_scale': 1
 'interactions': 10","'alpha': 0.1
 'l1_ratio': 0","'n_a_and_d': 16
 'n_steps': 3
 'gamma': 1.8","'spline_type': 'ts'
 'maxk': 5
 'm': 3
 'gamma': 1","'n_estimators': 50
 'max_depth': 6
 'eta': 0.1"
crimes,,"'max_depth': 5
 'max_leaf_nodes': None
 'class_weight': None
 'splitter': 'random'","'n_estimators': 100
 'max_depth': 10
 'class_weight': None","'max_depth': 3
 'learning_rate': 0.01
 'n_estimators': 500","'hidden_layer_sizes': [50
 50
 50]
 'alpha': 0.01
 'activation': 'relu'","'n_splines': 5
 'lam': 0.9","'max_bins': 512
 'interactions': 20
 'outer_bags': 16
 'inner_bags': 0","'lr': 0.02082
 'num_learners': 8
 'dropout': 0
 'num_basis_functions': 64","'interact_num': 10
 'activation_func': 'Sigmoid'
 'reg_clarity': 0.01","'subnet_num': 5
 'l1_proj': 0.01
 'l1_subnet': 0.001","'boost_rate': 0.025
 'elm_scale': 1
 'interactions': 0","'alpha': 0.1
 'l1_ratio': 0.2","'n_a_and_d': 32
 'n_steps': 3
 'gamma': 1.8","'spline_type': 'ts'
 'maxk': 5
 'm': 3
 'gamma': 1.4","'n_estimators': 100
 'max_depth': 3
 'eta': 0.1"
bike,,"'max_depth': 40
 'max_leaf_nodes': None
 'class_weight': None
 'splitter': 'best'","'n_estimators': 500
 'max_depth': 40
 'class_weight': None","'max_depth': 9
 'learning_rate': 0.01
 'n_estimators': 2000","'hidden_layer_sizes': [100
 100]
 'alpha': 0.01
 'activation': 'tanh'","'n_splines': 25
 'lam': 0.4","'max_bins': 512
 'interactions': 20
 'outer_bags': 16
 'inner_bags': 4","'lr': 0.02082
 'num_learners': 5
 'dropout': 0
 'num_basis_functions': 64","'interact_num': 20
 'activation_func': 'ReLU'
 'reg_clarity': 0.01","'subnet_num': 5
 'l1_proj': 0.0001
 'l1_subnet': 0.01","'boost_rate': 0.1
 'elm_scale': 5
 'interactions': 20","'alpha': 0.001
 'l1_ratio': 0","'n_a_and_d': 32
 'n_steps': 3
 'gamma': 1.3","'spline_type': 'ts'
 'maxk': 20
 'm': 2
 'gamma': 1","'n_estimators': 1000
 'max_depth': 9
 'eta': 0.1"
housing,,"'max_depth': 10
 'max_leaf_nodes': None
 'class_weight': None
 'splitter': 'best'","'n_estimators': 1000
 'max_depth': 40
 'class_weight': None","'max_depth': 6
 'learning_rate': 0.1
 'n_estimators': 2000","'hidden_layer_sizes': [50
 50
 50]
 'alpha': 0.01
 'activation': 'tanh'","'n_splines': 25
 'lam': 0.9","'max_bins': 512
 'interactions': 20
 'outer_bags': 16
 'inner_bags': 0","'lr': 0.01
 'num_learners': 8
 'dropout': 0
 'num_basis_functions': 64","'interact_num': 20
 'activation_func': 'ReLU'
 'reg_clarity': 0.01","'subnet_num': 10
 'l1_proj': 0.0001
 'l1_subnet': 0.001","'boost_rate': 0.1
 'elm_scale': 5
 'interactions': 20","'alpha': 0.001
 'l1_ratio': 0","'n_a_and_d': 16
 'n_steps': 3
 'gamma': 1.5","'spline_type': 'ts'
 'maxk': 20
 'm': 2
 'gamma': 1","'n_estimators': 1000
 'max_depth': 9
 'eta': 0.1"
diamond,,"'max_depth': 20
 'max_leaf_nodes': None
 'class_weight': None
 'splitter': 'best'","'n_estimators': 1000
 'max_depth': 20
 'class_weight': None","'max_depth': 9
 'learning_rate': 0.01
 'n_estimators': 2000","'hidden_layer_sizes': [50
 50]
 'alpha': 0.01
 'activation': 'tanh'","'n_splines': 20
 'lam': 0.6","'max_bins': 512
 'interactions': 20
 'outer_bags': 8
 'inner_bags': 0","'lr': 0.01
 'num_learners': 8
 'dropout': 0
 'num_basis_functions': 64","'interact_num': 20
 'activation_func': 'ReLU'
 'reg_clarity': 0.1","'subnet_num': 10
 'l1_proj': 0.001
 'l1_subnet': 0.01","'boost_rate': 0.025
 'elm_scale': 5
 'interactions': 20","'alpha': 0.001
 'l1_ratio': 0","'n_a_and_d': 16
 'n_steps': 3
 'gamma': 1.3","'spline_type': 'ts'
 'maxk': 10
 'm': 3
 'gamma': 1","'n_estimators': 1000
 'max_depth': 6
 'eta': 0.1"
wine,,"'max_depth': 10
 'max_leaf_nodes': 20
 'class_weight': None
 'splitter': 'best'","'n_estimators': 500
 'max_depth': 40
 'class_weight': None","'max_depth': 9
 'learning_rate': 0.01
 'n_estimators': 2000","'hidden_layer_sizes': [75
 75
 75]
 'alpha': 0.01
 'activation': 'relu'","'n_splines': 25
 'lam': 0.2","'max_bins': 256
 'interactions': 20
 'outer_bags': 8
 'inner_bags': 4","'lr': 0.01
 'num_learners': 1
 'dropout': 0
 'num_basis_functions': 64","'interact_num': 10
 'activation_func': 'ReLU'
 'reg_clarity': 0.01","'subnet_num': 5
 'l1_proj': 0.001
 'l1_subnet': 0.001","'boost_rate': 0.025
 'elm_scale': 5
 'interactions': 20","'alpha': 0.001
 'l1_ratio': 0","'n_a_and_d': 16
 'n_steps': 3
 'gamma': 1.3","'spline_type': 'ts'
 'maxk': 20
 'm': 3
 'gamma': 1","'n_estimators': 1000
 'max_depth': 12
 'eta': 0.03"
